0,1,2,3,4,5,6,7,8,9,cluster
274.994506088,274.9815318,275.094100282,274.966988807,22269.6466174,274.98182337,30.5517737444,274.986891651,275.053467097,274.971103546,1
412.423419295,412.419547499,412.409341954,412.422956176,412.428434961,412.453440395,2336.8568615,412.415919821,412.414644203,412.412423949,0
190.374104269,190.36388754,190.358113374,8819.18081971,14401.6753157,190.373301686,21.1518491771,190.366059079,190.400518709,190.36123723,1
353.527091453,353.54798998,353.539345112,353.532629128,21562.7517241,353.546783981,39.2816385507,353.549648641,353.522533666,353.550105632,1
247.472829063,247.469787236,247.46285175,247.456632111,247.471312507,247.474867246,27.4967073392,247.49087475,247.467573285,22515.804526,0
494.973645063,494.988220727,495.005189756,494.948768451,20289.6686504,495.01375924,54.997705775,494.991450293,494.956543822,495.00427651,1
618.677515611,618.66727401,19175.4567918,618.661026264,618.658279086,618.703957611,68.7447549497,618.67006289,618.656681478,618.689924965,2
618.665404251,618.721681502,618.712301773,618.719223639,19176.198034,618.721544588,68.7414950912,618.702128636,618.698339953,618.654116238,1
494.897850536,494.896908472,494.888437088,494.883215101,494.908683753,494.909417178,2254.38316989,494.894592669,494.896815222,494.887433074,0
247.490622495,247.486503624,247.472710862,247.469357305,22517.310083,247.51937755,27.4975634032,247.478068209,247.469787628,247.482563168,1
412.507647814,412.451732128,412.431800878,412.422742395,412.436304738,412.456695713,2336.8307003,412.447041084,412.430501767,412.451112097,0
79.8434121089,79.8348655065,79.8319209846,79.8306839583,24026.2278851,79.8364178801,8.87029656556,79.8328270642,79.8394729172,79.8332085867,1
824.95894605,825.197027294,824.9093286,824.917832625,17319.6582153,824.967328196,91.6636226199,824.903224489,824.924139353,824.951503569,1
190.34924263,190.348897489,190.350202657,190.341973613,190.353264267,190.356833501,2558.9300764,190.34587013,190.347420939,190.347488286,0
494.946222819,494.955393095,20288.9700351,494.920780321,494.96192742,494.981942288,54.9987161994,494.94469345,494.921957859,494.955074519,2
353.518065285,353.517172129,353.512637374,353.508259044,353.521510933,353.536728696,2395.76232912,353.513351645,353.507354344,353.515839982,0
247.471605644,247.470211404,247.559330415,247.468119023,247.50601189,247.476642905,27.4970723311,247.465576558,247.54321009,22515.6072678,0
247.468222131,247.456389123,247.456814177,247.444000776,247.459435112,247.469561892,2501.82211171,247.453934003,247.453739768,247.450779205,0
190.349579882,190.351830859,190.347549486,190.342520408,190.352732446,190.35465676,2558.9293504,190.350638279,190.347975858,190.350243188,0
145.577743856,145.577021529,145.57652987,145.571100037,23434.5039394,145.576940255,16.1749169995,145.572352278,145.608055452,145.571616639,1
1237.21608049,1237.21340511,1237.20914157,1237.18221364,13609.2329339,1237.25951495,137.472265503,1237.19449259,1237.20853556,1237.18142834,1
247.476593893,247.479707835,247.602774817,247.46002305,247.475146941,247.479445799,2501.79170107,247.469578054,247.46672258,247.476578695,0
309.320612693,309.322355681,309.32031978,309.305033989,21960.757207,309.333415786,34.3691538487,309.32038877,309.313226415,309.310397498,1
825.01791866,825.071241092,824.950049897,825.007956556,17319.0663287,825.223395392,91.6685938122,825.036793441,824.966305203,825.002786183,1
309.32864311,309.345435055,309.331270011,309.315083003,21960.6336545,309.347773137,34.3697045315,309.338656152,309.330772048,309.326707354,1
412.442442419,412.45223254,412.455223129,412.442226142,21032.4728633,412.471258884,45.8300998461,412.461455764,412.451628038,412.4520707,1
247.504135488,247.463048668,22516.3094936,247.45590441,247.473122523,247.47182823,27.4981191768,247.460013761,247.468483178,247.461693711,2
247.45462693,247.456871655,247.45385964,247.448190278,247.457899881,247.459925686,2501.82458448,247.452797532,247.453396613,247.453052365,0
176.764813747,176.769831376,176.765237053,176.760103521,23153.7990342,176.771292017,19.6406250074,176.764246353,176.766640029,176.76668901,1
